Header;4
"-----GENERAL INFORMATION-----";
"Cycle number";90
"Session number";0
"-----DATA INFORMATIONS-----";
"Number of descent CTDO messages";0
"Number of drift CTDO messages";2
"Number of ascent CTDO messages";62
"Number of near surface CTDO messages";1
"Number of in air CTDO messages";1
"Number of descent slices in shallow zone";0
"Number of descent slices in deep zone";0
"Number of CTDO measurements in drift";18
"Number of ascent slices in shallow zone";580
"Number of ascent slices in deep zone";102
"Number of CTDO measurements near surface";10
"Number of CTDO measurements in air";10
"-----SUBSURFACE POINT-----";
"Sub-Surface pressure (dbar)";1000.000000
"Sub-Surface temperature (°C)";0
"Sub-Surface salinity (PSU)";0
"Sub-Surface C1Phase DO (°)";0
"Sub-Surface C2Phase DO (°)";0
"Sub-Surface Temperature DO (°)";0
"-----GROUNDING PHASE-----";
"Grounding counter";0
"First grounding : Pressure (dbar)";0
"First grounding : Day relative to cycle beginning";0
"First grounding : Hour at grounding (h)";0
"First grounding : Phase (2=RE 3=DescPark 4=DriftPark 5=DescPrf 6=DriftPrf)";0
"First grounding : EV activation count";0
"Second grounding : Pressure (dbar)";0
"Second grounding : Day relative to cycle beginning";0
"Second grounding : Hour at grounding (h)";0
"Second grounding : Phase (2=RE 3=DescPark 4=DriftPark 5=DescPrf 6=DriftPrf)";0
"Second grounding : EV activation count";0
"-----EMERGENCY ASCENT PHASE-----";
"Emergency ascent number";0
"1st Emergency ascent time (h)";0
"1st Emergency pressure (dbar)";0
"Number of pump actions in emergency ascent";0
"1st Emergency ascent relative day (to 1st cycle day)";0
"-----IRIDIUM REMOTE CONTROL-----";
"Number of files received";0
"Number of file rejected";0
"Number of command received";0
"Number of command rejected";0
"-----LAST IRIDIUM SESSION-----";
"Session duration (second)";391
"Nb of SBDI on Rx";1
"Nb of SBDI on Tx";24
-----OTHERS-----;
"Number of pump to lift-off";2
"Internal pressure on ascent (mbar)";625
"Last reset : hour";4
"Last reset : minute";15
"Last reset : second";57
"Last reset : day";24
"Last reset : month";5
"Last reset : year";22
"Autotest result";1
""
"Autotest detail : Checksum";1
"Autotest detail : Iridium";1
"Autotest detail : DO";0
"Autotest detail : SBE Fast Pressure";1
"Autotest detail : SBE Power control";1
"Autotest detail : EV";1
"Autotest detail : Pump";1
"Autotest detail : Vbat";1
"Autotest detail : Int. Vac.";1
"Autotest detail : CPU";1
"Parameters state flag (0=Error 1=Ok)";1
"Ballast empty flag (1=Empty)";0
"SBE Power Control default (0=Ok 1=TimeOut 2=FrameHS)";0
"SBE Fast Pressure default (0=Ok 1=TimeOut 2=FrameHS)";0
"Phase of SBE default";255
"Hydraulic type (0=ARVOR 1=PROVOR 2=DEEP)";0
""
"Ice detection : Ascent hanging";0
"Ice detection : Satellite mask";0
"Ice detection : ISA";0
"Autotest detail : Int.Vac. (mbar)";605
"Autotest detail : Int.Vac.Threshold (mbar)";645
"RBR CTD Serial Number";206074
"Min salinity In Air measurement (PSU)";1.652
""
""
""
